,Title,Artist,Nationality,BeginDate,EndDate,Gender,Date,Department
2659,Two Years of War in England,William Vandivert,American,1912.0,1992.0,Male,1900,Photography
2660,You're Outta Here,George Griffin,American,,,Gender Unknown,2009,Film
2661,"Lounge Chair without Arms. Table Frame. Joining System Details. (Elevation sketches, perspective sketches)",Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1900,Architecture & Design
2662,Plate (folio 46) from LYRIK,A.R. Penck (Ralf Winkler),German,1939.0,2017.0,Male,1987,Prints & Illustrated Books
2663,Laughing Gas,Edwin S. Porter,American,1870.0,1941.0,Male,1907,Film
2664,Untitled from the portfolio SELF-PORTRAIT IN SYMBOLS,Federico Castellon,American,1914.0,1971.0,Male,1965,Prints & Illustrated Books
2665,Untitled,Jasper Johns,American,1930.0,,Male,1995,Prints & Illustrated Books
2666,"Los Angeles, California",Lee Friedlander,American,1934.0,,Male,1965,Photography
2667,"Untitled (plate 3, chapter IV, verses 1-10) for the portfolio The Revelation of St. John (Die Offenbarung Johannis)",Lovis Corinth,German,1858.0,1925.0,Male,1916,Prints & Illustrated Books
2668,Color Studies,Jan Dibbets,Dutch,1941.0,,Male,1973,Photography
2669,"Frankly, Shirley",Margaret Moores,Canadian,,,Female,1987,Media and Performance Art
2670,Sarajevo 1984 Winter Olympics,Jean-Michel Folon,Belgian,1934.0,,Male,1983,Architecture & Design
2671,Album (Kindergarten material based on the educational theories of Friedrich Froebel),Unknown,Nationality Unknown,,,Gender Unknown,1900,Architecture & Design
2672,The Maypole (Empire State Building),Edward Steichen,American,1879.0,1973.0,Male,1932,Photography
2673,Untitled,Gabriele Picco,Italian,1974.0,,Male,2003,Drawings
2674,Untitled,Lee Bontecou,American,1931.0,,Female,1962,Drawings
2675,"Progressive proof of first 7 colors for Plate 6 (supplementary suite, plate 77) from FOUR TALES FROM THE ARABIAN NIGHTS",Marc Chagall,French,1887.0,1985.0,Male,1900,Prints & Illustrated Books
2676,Untitled,Nick Mauss,American,1980.0,,Male,2003,Drawings
2677,Untitled (Rogue Poster),Beatrice Wood,American,1893.0,1998.0,Female,1916,Architecture & Design
2678,(Untitled) (Woman),Man Ray (Emmanuel Radnitzky),American,1890.0,1976.0,Male,1931,Photography
2679,"Casa Mara, Caracas, Venezuela",Jorge Castillo,Venezuelan,1933.0,,Male,1972,Architecture & Design
2680,The Treasurer's Residence: Built and finished largely by students,Frances Benjamin Johnston,American,1864.0,1952.0,Female,1900,Photography
2681,Untitled,Oscar Domínguez,French,1906.0,1957.0,Male,1900,Drawings
2682,Landscape with Steer,Jackson Pollock,American,1912.0,1956.0,Male,1900,Prints & Illustrated Books
2683,"Destitute Pea Pickers in California; Mother of Seven Children, Age 32",Dorothea Lange,American,1895.0,1965.0,Female,1936,Photography
2684,She Must Be Seeing Things,Sheila McLaughlin,American,1950.0,,Female,1987,Film
2685,Insert,Martine Syms,American,1988.0,,Female,2017,Media and Performance Art
2686,Untitled #24,José Antonio Suárez Londoño,Colombian,1955.0,,Male,1900,Prints & Illustrated Books
2687,Poderosa,Edward Paschke,American,1939.0,2004.0,Male,1991,Prints & Illustrated Books
2688,"Morris Greenwald House, Weston, Connecticut, Elevations and sections",Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1955,Architecture & Design
2689,"One God, One Singer",Ann Magnuson,American,1956.0,,Female,1976,Film
2690,Untitled (partial plate 2 from Look Up!),Louise Bourgeois,American,1911.0,2010.0,Female,2005,Prints & Illustrated Books
2691,Chort i rechetvortsy (The Devil and the Speechmakers),Olga Rozanova,Russian,1886.0,1918.0,Female,1913,Prints & Illustrated Books
2692,"Court House Project, Plan",Ludwig Mies van der Rohe,American,1886.0,1969.0,Male,1935,Architecture & Design
2693,"Proof of some colors for variant of in-text plate from page 22 with +remarque- (supplementary suite, plate 12) from LYSISTRATA",František Kupka,Czech,1871.0,1957.0,Male,1900,Prints & Illustrated Books
2694,Multiplication,Mario Sironi,Italian,1885.0,1961.0,Male,1941,Painting & Sculpture
2695,Arman estampes: catalogue raisonné,Arman,American,1928.0,2005.0,Male,1990,Prints & Illustrated Books
2696,"Guitar Piece, Festival of Misfits, ICA, London, October 23- November 8, 1962",Robin Page,British,1932.0,,Male,1962,Prints & Illustrated Books
2697,Ellsworth Kelly - Galerie Maeght,Ellsworth Kelly,American,1923.0,2015.0,Male,1958,Architecture & Design
2698,Venus,Francisco Matto,Uruguayan,1911.0,1995.0,Male,1968,Painting & Sculpture
2699,"Solomon R. Guggenheim Museum, New York, NY",Frank Lloyd Wright,American,1867.0,1959.0,Male,1900,Architecture & Design
2700,La vida me mata (Life Kills Me),Sebastián Silva,Chilean,1979.0,,Male,2007,Film
2701,Głod,Bronislaw Zelek,Polish,1935.0,,Male,1967,Architecture & Design
2702,"Garrick (Schiller) Theater, Chicago",John Szarkowski,American,1925.0,2007.0,Male,1954,Photography
2703,"A Bust (in-text plate, table of artists) from Poésie de mots inconnus",Jacques Villon,French,1875.0,1963.0,Male,1949,Prints & Illustrated Books
2704,Ships and Stars (Schiffe und Sterne),Lyonel Feininger,American,1871.0,1956.0,Male,1919,Prints & Illustrated Books
2705,"CIRCUS PERFORMER Plate 4 from 6 ACQUEFORTI DI MUCCINI,URBINATI, VESPIGNANI",Graziella Urbinati,Italian,1927.0,,Female,1947,Prints & Illustrated Books
2706,Still Life. Frames,Jaromír Funke,Czech,1896.0,1945.0,Male,1924,Photography
2707,Livery design for Air Force One,Raymond Loewy,American,1893.0,1986.0,Male,1962,Architecture & Design
2708,S.O.S. Smoke Signals from Underground (SOS. Senyals de fum des d'un subsòl),Antoni Llena,Spanish,1942.0,,Male,2016,Drawings
2709,"German People - German Work Exhibit, Berlin, Germany, Ceramics exhibit. Perspective.",Lilly Reich,German,1885.0,1947.0,Female,1934,Architecture & Design
2710,"Novyi LEF. Zhurnal levogo fronta iskusstv (New LEF: Journal of the Left Front of the Arts), no. 6",Aleksandr Rodchenko,Russian,1891.0,1956.0,Male,1928,Prints & Illustrated Books
2711,Two Figures Seated beside a Corpse,Candido Portinari,Brazilian,1903.0,1962.0,Male,1939,Prints & Illustrated Books
2712,"Plate (folio 13) from I, RUE GABRIELLE",Jean (Hans) Arp,French,1886.0,1966.0,Male,1900,Prints & Illustrated Books
2713,Vicieuse Coffee Table,Philippe Starck,French,1949.0,,Male,1992,Architecture & Design
2714,"Word Works & Ideagraphics 1967-1988, Volume I, from The Sydney Morning",Richard Tipping,Australian,1949.0,,Male,1900,Prints & Illustrated Books
2715,Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown,Nationality Unknown,,,Gender Unknown,1914,Prints & Illustrated Books
2716,Puzzle,Marcel Broodthaers,Belgian,1924.0,1976.0,Male,1969,Prints & Illustrated Books
2717,On a Westchester Farm,Alfredo Valente,American,1899.0,1973.0,Male,1940,Photography
2718,Study of Perspective - Tiananmen Square,Ai Weiwei,Chinese,1957.0,,Male,1900,Photography
2719,"Party, Norman Mailer's Fiftieth Birthday, New York",Garry Winogrand,American,1928.0,1984.0,Male,1973,Photography
2720,Untitled,Michael Schmidt,German,1945.0,2014.0,Male,1900,Photography
2721,Pier Piet from Insicuro Noncurante,Alighiero Boetti,Italian,1940.0,1994.0,Male,1900,Prints & Illustrated Books
2722,"Costume design (Alias as Guide), for the ballet Billy the Kid",Jared French,American,1905.0,1988.0,Male,1938,Drawings
2723,"Canton, Ohio",Lee Friedlander,American,1934.0,,Male,1980,Photography
2724,Collection of printers' proofs of miscellaneous Russian commercial packaging designs,Unknown,Nationality Unknown,,,Gender Unknown,1900,Prints & Illustrated Books
2725,Vselenskaia voina (Universal War),Aleksei Kruchenykh,Russian,1886.0,1969.0,Male,1916,Prints & Illustrated Books
2726,Salisbury Cathedral: The Spire,Roger Fenton,British,1819.0,1869.0,Male,1860,Photography
